jahr,onshore_twh,offshore_twh,onshore_mw,offshore_mw
2000,9.703,0.000,6097,0
2001,10.719,0.000,8738,0
2002,16.102,0.000,11976,0
2003,19.087,0.000,14381,0
2004,26.019,0.000,16419,0
2005,27.774,0.000,18248,0
2006,31.324,0.000,20474,0
2007,40.507,0.000,22116,0
2008,41.385,0.000,22794,0
2009,39.382,0.038,25697,35
2010,38.371,0.176,26823,80
2011,49.280,0.577,28524,188
2012,50.948,0.732,30711,268
2013,51.819,0.918,32969,508
2014,57.026,1.471,37620,994
2015,72.340,8.284,41297,3283
2016,67.650,12.274,45283,4152
2017,88.018,17.675,50174,5406
2018,90.484,19.467,52328,6393
2019,101.150,24.744,53187,7555
2020,104.796,27.306,54256,7874
2021,92.075,24.373,55887,7874
2022,99.149,25.124,57988,8216
2023,117.877,23.887,60971,8473
2024,113.749,26.064,63535,9215
2025,107.225,26.458,68145,9733
