bl,et,strommenge_gwh,zahlung_mio_eur,anlagen,ct_je_kwh
Ausschließliche Wirtschaftszone,auf See,22963.39,1314.30,1462,5.72
Baden-Württemberg,an Land,3066.39,36.21,817,1.18
Bayern,an Land,4212.42,76.42,1229,1.81
Berlin,an Land,32.99,0.43,6,1.30
Brandenburg,an Land,13091.26,171.02,3869,1.31
Bremen,an Land,300.26,5.69,83,1.90
Hamburg,an Land,179.98,1.93,66,1.07
Hessen,an Land,4553.17,62.54,1112,1.37
Mecklenburg-Vorpommern,an Land,6553.62,96.68,1723,1.48
Mecklenburg-Vorpommern,auf See,993.80,0.30,48,0.03
Niedersachsen,an Land,21738.50,246.31,6225,1.13
Niedersachsen,auf See,2209.99,139.14,168,6.30
Nordrhein-Westfalen,an Land,13205.40,156.88,3542,1.19
Rheinland-Pfalz,an Land,6780.23,106.76,1740,1.57
Saarland,an Land,989.19,13.33,210,1.35
Sachsen,an Land,2024.65,24.33,851,1.20
Sachsen-Anhalt,an Land,7857.37,109.03,2544,1.39
Schleswig-Holstein,an Land,15740.81,193.86,3367,1.23
Thüringen,an Land,2938.46,40.03,868,1.36
