lage,jahr,einheiten,kw,mwh,vlh_gewichtet,vlh_median,mwh_je_anlage_median,kw_mittel,nabe_mittel
an Land,1989,1.0,200.0,364.3,1821.4,1821.4,364.3,200.0,38.5
an Land,1990,6.0,1050.0,1372.9,1307.6,577.0,86.5,175.0,30.4
an Land,1991,15.0,2975.0,2786.7,936.7,909.4,186.8,198.3,31.2
an Land,1992,50.0,11765.0,10866.2,923.6,911.7,182.7,235.3,33.8
an Land,1993,97.0,30755.0,30947.6,1006.3,978.9,280.8,317.1,36.3
an Land,1994,167.0,71475.0,73171.4,1023.7,980.5,396.7,428.0,43.9
an Land,1995,386.0,189524.0,177520.4,936.7,914.1,465.2,491.0,50.6
an Land,1996,316.0,164560.0,159481.7,969.1,899.0,494.6,520.8,56.9
an Land,1997,317.0,189140.0,179363.1,948.3,934.1,518.8,596.7,60.9
an Land,1998,388.0,273260.0,241967.3,885.5,901.8,513.9,704.3,61.7
an Land,1999,663.0,606722.0,539822.9,889.7,852.0,679.0,915.1,64.1
an Land,2000,711.0,765120.0,768497.3,1004.4,1026.0,906.3,1076.1,69.1
an Land,2001,1339.0,1751080.0,1728072.6,986.9,976.3,1252.2,1307.8,74.5
an Land,2002,1406.0,1921715.0,1938640.9,1008.8,989.6,1328.1,1366.8,77.5
an Land,2003,1356.0,2120105.0,2367051.3,1116.5,1100.2,1709.0,1563.5,84.3
an Land,2004,915.0,1561130.0,1849005.4,1184.4,1159.1,2093.3,1706.2,89.9
an Land,2005,869.0,1503478.0,1850958.4,1231.1,1230.7,2148.7,1730.1,91.6
an Land,2006,1084.0,1988330.0,2545964.0,1280.5,1232.7,2246.8,1834.3,92.1
an Land,2007,819.0,1537860.0,2092935.4,1360.9,1255.8,2490.2,1877.7,91.4
an Land,2008,371.0,728970.0,964726.9,1323.4,1279.0,2577.6,1964.9,92.0
an Land,2009,1323.0,2580000.0,3648548.8,1414.2,1363.9,2735.2,1950.1,95.7
an Land,2010,683.0,1354910.0,2110105.0,1557.4,1520.0,3091.6,1983.8,100.0
an Land,2011,824.0,1814649.0,2814510.1,1551.0,1497.4,3369.2,2202.2,105.4
an Land,2012,989.0,2361217.0,3845406.5,1628.6,1568.7,3605.6,2387.5,110.3
an Land,2013,1129.0,2933214.0,5161308.0,1759.6,1707.3,4322.7,2598.1,117.0
an Land,2014,1692.0,4544125.5,8198706.3,1804.2,1762.9,4844.7,2685.7,115.6
an Land,2015,1374.0,3744674.0,7181345.2,1917.7,1896.2,5223.9,2725.4,122.2
an Land,2016,1529.0,4376737.0,8547838.1,1953.0,1920.0,5608.0,2862.5,128.1
an Land,2017,1840.0,5472245.0,10951736.9,2001.3,1968.8,6004.9,2974.0,128.2
an Land,2018,737.0,2382000.0,4799601.6,2014.9,2019.8,6597.8,3232.0,132.8
an Land,2019,270.0,913410.0,1763060.4,1930.2,1914.5,6590.8,3383.0,134.5
an Land,2020,390.0,1318018.0,2552940.6,1937.0,1940.0,6694.4,3379.5,134.7
an Land,2021,470.0,1873500.0,3634723.8,1940.1,1948.4,7537.8,3986.2,139.6
an Land,2022,532.0,2328099.0,4495495.5,1931.0,1960.7,8246.2,4376.1,138.0
an Land,2023,720.0,3432465.0,6501285.9,1894.1,1934.2,8985.4,4767.3,136.0
an Land,2024,566.0,2934610.0,5512046.7,1878.3,1825.4,9624.2,5184.8,143.0
auf See,2009,7.0,35000.0,56415.0,1611.9,1611.9,8059.3,5000.0,90.9
auf See,2010,9.0,47000.0,93749.2,1994.7,1611.9,8059.3,5222.2,90.9
auf See,2011,33.0,114300.0,331207.2,2897.7,3537.2,8135.7,3463.6,75.4
auf See,2012,16.0,88000.0,227489.3,2585.1,2581.9,14200.4,5500.0,90.0
auf See,2013,48.0,264000.0,653380.5,2474.9,2499.7,13748.6,5500.0,90.0
auf See,2014,128.0,500780.0,1429368.9,2854.3,2936.1,11123.1,3912.3,89.4
auf See,2015,548.0,2332820.0,5873733.4,2517.9,2573.9,10810.3,4257.0,88.7
auf See,2016,156.0,855408.0,2819409.7,3296.0,3312.1,19874.0,5483.4,104.2
auf See,2017,222.0,1285600.0,3791607.4,2949.3,2787.3,16439.8,5791.0,96.2
auf See,2018,140.0,990400.0,2958361.2,2987.0,3011.5,19720.6,7074.3,106.2
auf See,2019,160.0,1141830.0,3532633.8,3093.8,3206.0,23564.2,7136.4,105.0
auf See,2020,32.0,218880.0,713139.9,3258.1,3257.2,22285.6,6840.0,104.8
auf See,2022,38.0,342000.0,685214.0,2003.5,2003.7,18032.9,9000.0,107.5
auf See,2023,27.0,257175.0,822953.8,3200.0,3200.0,30479.8,9525.0,
auf See,2024,73.0,741900.0,2104433.5,2836.5,2590.9,24678.3,10163.0,113.1
