bl,einheiten,kw,mwh,vlh_gewichtet,vlh_median,mwh_je_anlage_median,kw_mittel,nabe_mittel
Baden-Württemberg,760.0,1858297.0,2995854.4,1612.2,1503.4,4363.6,2445.1,120.6
Bayern,1112.0,2623857.0,4156100.5,1584.0,1523.6,3943.4,2359.6,124.9
Berlin,6.0,16570.0,32988.6,1990.9,1955.9,4596.4,2761.7,140.2
Brandenburg,3840.0,8504079.0,12622830.5,1484.3,1290.3,2580.5,2214.6,108.1
Bremen,71.0,187490.0,287369.8,1532.7,1574.9,4138.9,2640.7,100.0
Hamburg,59.0,116790.0,178793.6,1530.9,1601.1,3800.1,1979.5,94.2
Hessen,1040.0,2442520.0,4455445.8,1824.1,1685.1,4417.6,2348.6,119.8
Mecklenburg-Vorpommern,1765.0,3725420.0,6402441.7,1718.6,1531.1,3158.1,2110.7,96.4
Niedersachsen,5666.0,12271153.0,20598897.7,1678.6,1371.9,2571.5,2165.8,95.4
Nordrhein-Westfalen,3206.0,7182219.0,12393664.9,1725.6,1458.2,2878.2,2240.2,105.5
Rheinland-Pfalz,1659.0,3950630.0,6591885.7,1668.6,1481.7,3478.1,2381.3,116.6
Saarland,200.0,498170.0,975259.9,1957.7,1841.0,4728.1,2490.8,123.5
Sachsen,794.0,1283706.5,1946280.2,1516.1,1277.3,1915.3,1616.8,83.4
Sachsen-Anhalt,2410.0,4998384.0,7572481.4,1515.0,1342.6,2558.0,2074.0,102.1
Schleswig-Holstein,2955.0,8388345.0,15196228.7,1811.6,1719.1,5013.9,2838.7,87.3
Thüringen,801.0,1735457.0,2835652.7,1634.0,1446.7,2893.4,2166.6,107.3
