lage,marke,rd,einheiten,kw,mwh,vlh_gewichtet,vlh_median,mwh_je_anlage_median,kw_mittel,nabe_mittel
an Land,Enercon,71.0,2845.0,5818696.0,6641481.4,1141.4,1143.1,2285.9,2045.2,83.7
an Land,Enercon,82.0,2440.0,5397388.0,8956596.9,1659.4,1598.8,3550.3,2212.0,116.3
an Land,Vestas,90.0,1468.0,2951075.0,4409003.4,1494.0,1460.5,2946.3,2010.3,106.2
an Land,Vestas,112.0,1156.0,3705179.0,6977209.4,1883.1,1858.4,5952.3,3205.2,125.2
an Land,Enercon,101.0,936.0,2853001.0,5489608.6,1924.2,1924.9,5870.8,3048.1,131.2
an Land,Enercon,40.0,868.0,442533.0,429415.9,970.4,971.3,489.2,509.8,58.4
an Land,Nordex,117.0,852.0,2219762.0,4484703.0,2020.4,2024.6,5048.6,2605.4,130.7
an Land,Vestas,80.0,771.0,1541750.0,1723429.7,1117.8,1115.9,2231.8,1999.7,90.2
an Land,Vestas,126.0,587.0,2001150.0,3835864.3,1916.8,1912.4,6457.6,3409.1,140.2
an Land,Enercon,116.0,545.0,1717080.0,3709638.9,2160.4,2210.1,6905.9,3150.6,139.9
an Land,Enercon,44.0,526.0,314872.0,329951.3,1047.9,1015.5,608.6,598.6,68.5
auf See,Siemens Gamesa,120.0,507.0,1934620.0,5411864.8,2797.4,2936.1,10810.3,3815.8,87.4
an Land,Senvion/REpower,114.0,504.0,1624275.5,3281648.1,2020.4,1998.2,6413.5,3222.8,112.9
an Land,Enercon,115.0,498.0,1530902.0,3317547.9,2167.1,2147.3,6684.1,3074.1,139.7
an Land,GE,77.0,481.0,721500.0,892362.3,1236.8,1204.1,1806.1,1500.0,91.8
an Land,Enercon,53.0,445.0,356374.0,468665.9,1315.1,1281.0,1024.8,800.8,72.6
an Land,GE,120.0,442.0,1179010.0,2327857.0,1974.4,1903.2,4971.7,2667.4,136.4
an Land,Enercon,66.0,404.0,660400.0,703116.3,1064.7,1042.9,1769.7,1634.7,73.6
an Land,Enercon,92.0,384.0,902180.0,1562604.7,1732.0,1676.9,3940.7,2349.4,124.1
an Land,Nordex,149.0,346.0,1801500.0,3327657.8,1847.2,1858.9,9665.7,5206.6,142.6
auf See,Siemens Gamesa,154.0,311.0,2047158.0,6665850.6,3256.1,3270.1,20747.0,6582.5,105.6
an Land,Senvion/REpower,77.0,302.0,453550.0,524518.5,1156.5,1157.3,1735.9,1501.8,86.6
