marke,anzahl,leistung_mw,zubau2025_n,zubau2025_mw,off_anzahl,off_leistung_mw
Enercon,12353,27689.6,323.0,1551.4,0.0,0.0
Vestas,6290,17990.8,279.0,1587.8,225.0,2373.6
Nordex,3104,10260.9,287.0,1660.2,0.0,0.0
Senvion/REpower,1796,4481.1,1.0,0.0,158.0,970.6
GE,1558,3985.8,36.0,199.6,66.0,405.9
Siemens Gamesa,722,2015.3,43.0,283.8,1056.0,5902.6
Sonstige,1836,1062.7,95.0,0.8,0.0,0.0
NEG Micon,985,1048.3,0.0,0.0,0.0,0.0
eno energy,162,480.4,3.0,18.0,0.0,0.0
Fuhrländer,306,471.5,0.0,0.0,0.0,0.0
AN Bonus,353,416.2,0.0,0.0,0.0,0.0
Vensys,151,377.8,0.0,0.0,0.0,0.0
unbekannt,213,266.2,5.0,0.0,0.0,0.0
DeWind,241,221.2,0.0,0.0,0.0,0.0
Tacke,322,209.4,0.0,0.0,0.0,0.0
Adwen,7,33.0,0.0,0.0,196.0,996.1
BARD,2,11.0,0.0,0.0,80.0,440.0
