lage,ibn_jahr,anzahl,leistung_mw,mittel_kw,nabe_m,rotor_m,noch_in_betrieb
an Land,1990.0,29,5.1,174.7,31.7,22.9,16
an Land,1991.0,47,7.5,158.6,31.3,23.3,33
an Land,1992.0,88,16.1,183.4,34.0,25.1,78
an Land,1993.0,179,44.8,250.2,36.0,28.4,135
an Land,1994.0,280,110.3,394.1,43.4,34.9,219
an Land,1995.0,523,253.9,485.5,50.3,39.0,436
an Land,1996.0,430,219.2,509.8,55.7,40.4,359
an Land,1997.0,471,277.4,588.9,59.8,43.4,353
an Land,1998.0,584,421.9,722.4,62.0,46.7,424
an Land,1999.0,1044,966.5,925.8,64.9,52.6,722
an Land,2000.0,1133,1242.3,1096.4,69.9,57.4,786
an Land,2001.0,1893,2419.6,1278.2,74.9,62.2,1418
an Land,2002.0,2105,2887.7,1371.8,78.6,65.0,1601
an Land,2003.0,1703,2615.2,1535.7,83.7,69.7,1473
an Land,2004.0,1169,1974.4,1689.0,88.9,72.3,986
an Land,2005.0,1024,1747.9,1707.0,90.6,72.9,907
an Land,2006.0,1202,2218.8,1846.0,91.8,76.4,1133
an Land,2007.0,897,1669.8,1861.5,90.2,76.4,860
an Land,2008.0,399,766.0,1919.9,89.9,75.2,385
an Land,2009.0,1402,2690.7,1919.2,93.9,77.9,1356
an Land,2010.0,756,1413.9,1870.2,95.3,75.5,735
an Land,2011.0,934,1876.2,2008.7,97.9,76.4,912
an Land,2012.0,1122,2415.8,2153.2,102.3,80.2,1096
an Land,2013.0,1249,3015.9,2414.6,112.3,88.9,1225
an Land,2014.0,1832,4660.6,2544.0,111.2,94.1,1812
an Land,2015.0,1449,3799.1,2621.9,118.9,100.5,1439
an Land,2016.0,1617,4455.4,2755.3,124.7,105.6,1610
an Land,2017.0,1901,5522.8,2905.2,126.0,110.3,1894
an Land,2018.0,801,2470.0,3083.7,127.8,113.3,797
an Land,2019.0,319,953.3,2988.4,122.7,108.2,312
an Land,2020.0,468,1424.6,3044.0,123.8,109.9,463
an Land,2021.0,536,1938.4,3616.4,129.7,121.9,526
an Land,2022.0,604,2404.8,3981.4,128.3,125.2,592
an Land,2023.0,837,3581.4,4278.9,125.6,127.1,821
an Land,2024.0,767,3305.6,4309.7,124.8,124.1,745
an Land,2025.0,1072,5301.6,4945.6,135.9,137.6,1054
an Land,2026.0,675,3576.2,5298.1,143.7,145.4,674
auf See,2009.0,7,35.0,5000.0,90.9,117.4,7
auf See,2010.0,9,47.0,5222.2,90.9,124.2,9
auf See,2011.0,33,114.3,3463.6,75.4,103.5,33
auf See,2012.0,16,88.0,5500.0,90.0,122.0,16
auf See,2013.0,48,264.0,5500.0,90.0,122.0,48
auf See,2014.0,128,500.8,3912.3,89.4,119.8,128
auf See,2015.0,548,2332.8,4257.0,88.7,119.7,548
auf See,2016.0,156,855.4,5483.4,104.2,144.9,156
auf See,2017.0,222,1285.6,5791.0,96.2,137.5,222
auf See,2018.0,140,990.4,7074.3,106.2,157.5,140
auf See,2019.0,160,1141.8,7136.4,105.0,154.9,160
auf See,2020.0,32,218.9,6840.0,104.8,153.0,32
auf See,2022.0,38,342.0,9000.0,107.5,167.0,38
auf See,2023.0,27,257.2,9525.0,,174.0,27
auf See,2024.0,73,741.9,10163.0,113.1,182.2,73
auf See,2025.0,41,518.4,12643.9,143.1,211.4,41
auf See,2026.0,103,1355.2,13157.8,143.4,216.8,103
