Landkreis,anzahl,leistung_mw
Nordfriesland,1006,2617.0
Dithmarschen,900,2391.7
Uckermark,659,1751.1
Aurich,627,1096.2
Prignitz,553,1223.3
Emsland,528,1429.8
Cuxhaven,526,809.8
Schleswig-Flensburg,522,1390.5
Paderborn,519,1428.1
Teltow-Fläming,419,905.0
Vorpommern-Greifswald,412,783.9
Diepholz,405,1007.4
Börde,402,730.3
Salzlandkreis,374,737.2
Rostock,362,903.4
Höxter,352,804.5
Stendal,346,958.4
Ostholstein,345,959.4
Ostprignitz-Ruppin,341,579.2
Ludwigslust-Parchim,338,923.6
Borken,336,862.0
Dahme-Spreewald,321,804.0
Elbe-Elster,319,636.2
Märkisch-Oderland,311,806.5
Vorpommern-Rügen,309,562.2
Mecklenburgische Seenplatte,308,790.4
Steinburg,298,869.7
Steinfurt,295,675.4
Rhein-Hunsrück-Kreis,293,785.8
Rendsburg-Eckernförde,282,977.8
Eifelkreis Bitburg-Prüm,271,506.6
Region Hannover,261,521.1
Vogelsbergkreis,260,556.7
Anhalt-Bitterfeld,246,528.7
Cloppenburg,246,444.5
Saalekreis,241,485.2
Soest,235,397.0
Stade,230,544.0
Warendorf,229,605.1
Rotenburg (Wümme),229,590.7
Mansfeld-Südharz,226,415.5
Potsdam-Mittelmark,220,505.5
Osnabrück,218,581.5
Burgenlandkreis,217,560.9
Kleve,216,463.5
Nienburg (Weser),211,437.3
Düren,209,592.2
Wesermarsch,206,498.2
Friesland,201,370.2
Mittelsachsen,197,285.1
Oder-Spree,193,528.4
Wittmund,187,368.5
Nordwestmecklenburg,182,395.6
Altmarkkreis Salzwedel,181,391.9
Oberspreewald-Lausitz,176,495.1
Waldeck-Frankenberg,176,410.5
Uelzen,170,524.6
Heidekreis,168,342.7
Havelland,165,299.2
Alzey-Worms,165,495.0
Barnim,164,418.9
Jerichower Land,156,308.8
Main-Tauber-Kreis,155,304.4
Wittenberg,149,371.0
Coesfeld,143,416.0
Kassel,136,286.5
Lippe,136,331.7
Euskirchen,134,303.4
Heinsberg,131,329.2
Görlitz,126,210.1
Segeberg,125,494.2
Wolfenbüttel,123,449.0
Schwäbisch Hall,122,360.8
Spree-Neiße,119,367.8
Hochsauerlandkreis,118,379.3
Hof,117,245.6
