bundesland,anzahl,leistung_mw,mittel_kw,planung_n,planung_mw,zubau2025_n,zubau2025_mw,stichtag
Baden-Württemberg,939,2288.2,2436.8,272.0,1614.7,51.0,204.3,2026-09-21
Bayern,1371,2886.8,2105.6,421.0,2640.1,31.0,86.7,2026-09-21
Berlin,8,16.6,2071.4,0.0,0.0,1.0,0.0,2026-09-21
Brandenburg,4131,9656.7,2337.6,786.0,4790.7,112.0,635.8,2026-09-21
Bremen,86,187.3,2178.1,3.0,14.1,0.0,0.0,2026-09-21
Hamburg,67,121.7,1816.6,3.0,8.4,0.0,0.0,2026-09-21
Hessen,1237,2954.1,2388.1,451.0,2756.7,34.0,160.1,2026-09-21
Mecklenburg-Vorpommern,1924,4378.6,2275.8,559.0,3357.3,33.0,167.1,2026-09-21
Niedersachsen,6411,14412.9,2248.2,1621.0,10084.8,229.0,1162.4,2026-09-21
Nordrhein-Westfalen,4045,9841.7,2433.1,2095.0,12883.3,271.0,1362.3,2026-09-21
Rheinland-Pfalz,1817,4465.8,2457.8,473.0,2887.2,44.0,225.5,2026-09-21
Saarland,225,578.6,2571.7,52.0,314.5,3.0,16.8,2026-09-21
Sachsen,921,1473.6,1600.0,177.0,1104.8,21.0,70.4,2026-09-21
Sachsen-Anhalt,2658,5713.7,2149.6,405.0,2604.4,59.0,330.9,2026-09-21
Schleswig-Holstein,3673,10116.2,2754.2,503.0,2783.8,168.0,803.5,2026-09-21
Thüringen,888,1928.6,2171.8,265.0,1647.3,15.0,75.8,2026-09-21
