lage,marke,rd,anzahl,leistung_mw,kw_median,nabe_median,nabe_p10,nabe_p90,ibn_von,ibn_bis,typ_haeufigste
an Land,Enercon,71.0,3018,6151.6,2000.0,85.0,64.0,113.0,1999.0,2025.0,E-70 E4
an Land,Enercon,82.0,2485,5498.6,2300.0,108.0,85.0,138.4,2006.0,2026.0,E-82 E2
an Land,Vestas,90.0,1491,2997.1,2000.0,105.0,98.0,125.0,2001.0,2021.0,V90
an Land,Vestas,112.0,1166,3738.3,3075.0,140.0,94.0,140.0,2011.0,2024.0,V112
an Land,Enercon,101.0,943,2874.3,3050.0,135.4,99.0,149.0,2011.0,2022.0,E-101
an Land,Enercon,40.0,936,477.2,500.0,65.0,42.0,65.0,1993.0,2013.0,E-40
an Land,Nordex,117.0,879,2299.0,2400.0,140.6,91.0,141.0,2011.0,2026.0,N117
an Land,Vestas,80.0,799,1597.8,2000.0,100.0,60.0,100.0,2001.0,2014.0,V80
an Land,Vestas,126.0,614,2092.9,3450.0,137.0,137.0,149.0,2014.0,2025.0,V126
an Land,Enercon,44.0,576,344.8,600.0,65.0,58.0,78.0,1993.0,2011.0,E-40/6.44
an Land,Enercon,116.0,574,1838.5,3000.0,149.0,92.0,149.1,2014.0,2026.0,E-115
an Land,Nordex,149.0,547,2924.4,5700.0,127.4,105.0,164.0,2018.0,2026.0,N149/5.X
an Land,GE,77.0,524,786.0,1500.0,100.0,73.0,100.0,1999.0,2009.0,GE 1.5sl
an Land,Enercon,115.0,524,1631.5,3000.0,149.0,92.0,149.0,2012.0,2026.0,E-115
an Land,Senvion/REpower,114.0,513,1652.8,3170.0,93.0,93.0,143.0,2012.0,2020.0,3.2M114
auf See,Siemens Gamesa,120.0,507,1934.6,3780.0,89.0,78.2,91.0,2014.0,2015.0,SWT-3.6-120
an Land,Enercon,138.0,484,2022.2,4200.0,160.0,110.2,160.0,2020.0,2026.0,E-138 EP3 E2
an Land,Enercon,53.0,462,370.0,800.0,73.0,73.0,73.2,2002.0,2024.0,E-53
an Land,GE,120.0,456,1217.4,2750.0,139.0,120.0,139.0,2013.0,2022.0,GE 2.75-120
an Land,Enercon,66.0,441,718.3,1500.0,67.0,65.0,98.0,1997.0,2005.0,E-66
an Land,Vestas,150.0,440,2288.4,5600.0,166.0,125.0,169.0,2019.0,2026.0,V150
an Land,Enercon,92.0,393,923.3,2350.0,138.0,103.9,138.4,2005.0,2026.0,E-92
an Land,Vestas,162.0,390,2376.2,6200.0,169.0,119.0,169.0,2022.0,2026.0,V162
an Land,Enercon,160.0,343,1905.9,5560.0,166.6,120.0,166.6,2021.0,2026.0,E-160 EP5 E3
an Land,Senvion/REpower,77.0,323,485.1,1500.0,85.0,61.5,100.0,2000.0,2010.0,MD77
an Land,Vestas,136.0,323,1243.2,3600.0,149.0,112.0,166.0,2016.0,2026.0,V136
auf See,Siemens Gamesa,154.0,311,2047.2,6300.0,105.0,102.0,110.0,2016.0,2020.0,SWT-6.0-154
an Land,Nordex,131.0,284,938.7,3300.0,134.0,106.0,164.0,2015.0,2025.0,N131/3300
an Land,Nordex,163.0,281,1834.1,6800.0,164.0,118.0,164.9,2021.0,2026.0,N163-6.8 MW
an Land,Enercon,48.0,256,204.2,800.0,75.6,55.0,76.0,2002.0,2018.0,E-48
an Land,Senvion/REpower,92.0,250,511.0,2050.0,100.0,80.0,100.0,2005.0,2019.0,MM92
an Land,Senvion/REpower,104.0,219,738.4,3370.0,98.0,80.0,128.0,2009.0,2017.0,3.4M104
an Land,Sonstige,2.0,212,0.3,1.0,9.0,4.0,12.0,2007.0,2026.0,SkyWind NG
an Land,Vestas,52.0,210,178.8,850.0,74.0,65.0,74.0,1998.0,2009.0,V52
an Land,NEG Micon,82.0,204,306.1,1500.0,95.0,93.6,109.0,2002.0,2007.0,NM 82/1500
an Land,GE,158.0,195,1064.3,5500.0,161.0,120.9,161.0,2020.0,2025.0,GE 5.5-158
an Land,Senvion/REpower,82.0,188,379.7,2000.0,100.0,59.0,100.0,2003.0,2017.0,MM82
an Land,Fuhrländer,77.0,186,279.0,1500.0,100.0,62.0,100.0,2001.0,2011.0,FL MD 77
an Land,Vestas,47.0,178,116.8,660.0,65.0,42.0,76.0,1998.0,2005.0,V47
an Land,NEG Micon,60.0,176,176.5,1000.0,70.0,70.0,80.0,1999.0,2005.0,NM60/1000
an Land,Enercon,127.0,169,769.0,4200.0,135.0,115.8,135.0,2005.0,2026.0,E-126 EP3
an Land,Vestas,117.0,156,530.2,3450.0,141.5,91.5,141.5,2015.0,2026.0,V117
an Land,Siemens Gamesa,113.0,155,466.1,3000.0,93.0,92.5,142.5,2013.0,2021.0,SWT-3.0-113
an Land,Nordex,100.0,154,394.4,2500.0,100.0,100.0,140.0,2006.0,2017.0,N100
an Land,Sonstige,6.0,153,1.1,6.0,19.0,10.7,19.8,2009.0,2026.0,EasyWind 6 AC
an Land,AN Bonus,62.0,148,192.4,1300.0,68.0,68.0,80.0,1999.0,2006.0,"1,3 MW/62"
an Land,Enercon,58.0,142,141.9,1000.0,70.5,69.4,89.0,1999.0,2008.0,E-58/10.58
an Land,Nordex,60.0,140,182.0,1300.0,69.0,60.0,73.0,1998.0,2014.0,N60
an Land,Sonstige,70.0,135,203.0,1500.0,65.0,65.0,85.0,1999.0,2007.0,Enron Wind 1.5 s
an Land,Tacke,43.0,130,78.0,600.0,50.0,50.0,60.0,1994.0,2003.0,TW600
an Land,Nordex,133.0,129,619.2,4800.0,110.0,82.5,125.4,2019.0,2026.0,N133/4.8
an Land,Enercon,141.0,127,533.4,4200.0,158.9,129.0,159.0,2017.0,2022.0,E-141 EP4
auf See,Senvion/REpower,126.0,126,768.0,6150.0,90.0,84.0,96.8,2009.0,2017.0,6.2M126
auf See,Adwen,116.0,126,630.0,5000.0,92.1,91.3,92.9,2009.0,2015.0,AD5-116
an Land,GE,70.0,124,186.0,1500.0,65.0,64.1,100.0,1999.0,2005.0,GE 1.5s
an Land,Vestas,44.0,124,74.4,600.0,53.0,50.0,63.0,1995.0,2000.0,V44
an Land,Nordex,77.0,119,178.5,1500.0,90.0,84.0,100.0,2001.0,2010.0,S-77
an Land,Sonstige,77.0,117,175.5,1500.0,85.0,80.0,100.0,1999.0,2009.0,S77
an Land,Nordex,90.0,116,273.1,2300.0,100.0,80.0,105.0,2002.0,2011.0,N90
an Land,Nordex,70.0,110,165.0,1500.0,85.0,65.0,114.5,2000.0,2007.0,S70
an Land,DeWind,48.0,109,65.4,600.0,70.0,70.0,70.0,1997.0,2004.0,D4
auf See,Siemens Gamesa,200.0,106,1224.3,11550.0,142.4,126.5,142.4,2024.0,2026.0,SG 11.0-200 DD
