marke,rd,anzahl,kw_median,nabe_median,typ_haeufigste
Vestas,162.0,318,6200.0,169.0,V162
Enercon,160.0,305,5560.0,166.6,E-160 EP5 E3
Nordex,149.0,299,5700.0,125.4,N149/5.X
Enercon,138.0,269,4200.0,159.5,E-138 EP3 E2
Nordex,163.0,253,6800.0,164.0,N163-6.8 MW
Vestas,150.0,200,6000.0,149.5,V150
Sonstige,2.0,118,1.0,8.0,SkyWind NG
Nordex,133.0,84,4800.0,110.0,N133/4.8
GE,158.0,70,5500.0,161.0,GE 5.5-158
Enercon,175.0,61,6000.0,162.0,E-175 EP5
Vestas,136.0,61,4200.0,135.0,V136-4.2
Siemens Gamesa,155.0,40,6600.0,165.0,SG 6.0-155
Enercon,116.0,39,4200.0,92.0,E-115 EP3 E4
Enercon,115.0,33,4200.0,122.0,E-115 EP3 E3
Vestas,172.0,30,7200.0,175.0,"V 172  7,2MW"
Sonstige,1.0,28,0.8,6.5,SkyWind NG
Nordex,131.0,22,3600.0,106.0,N131/3600 TS106
Sonstige,6.0,22,6.0,19.0,EasyWind 6 AC
Nordex,175.0,17,6800.0,179.0,
GE,164.0,16,6000.0,167.0,
Siemens Gamesa,170.0,16,6600.0,165.0,
Enercon,82.0,15,2300.0,84.6,
Sonstige,7.0,15,6.0,19.0,
Sonstige,4.0,14,5.5,10.0,
Vestas,126.0,13,3450.0,137.0,
Nordex,117.0,13,3600.0,91.0,
Enercon,127.0,10,4000.0,135.0,
Sonstige,5.0,9,7.5,10.0,
Sonstige,3.0,9,3.5,8.2,
Vestas,117.0,9,3450.0,116.5,
Enercon,139.0,9,4200.0,160.0,
Enercon,103.0,7,2350.0,138.4,
Sonstige,150.0,6,6000.0,166.0,
Sonstige,9.0,5,10.0,14.5,
Sonstige,16.0,5,25.0,18.0,
Sonstige,8.0,5,10.0,10.5,
eno energy,160.0,5,6000.0,165.0,
Enercon,71.0,4,2300.0,64.0,
Sonstige,30.0,4,250.0,30.0,
Sonstige,0.0,4,1.3,5.8,
Enercon,147.0,4,5000.0,155.1,
unbekannt,1.0,3,3.0,6.0,
Sonstige,114.0,3,3400.0,93.0,
unbekannt,2.0,2,1.0,11.8,
Sonstige,11.0,2,9.9,24.6,
Sonstige,50.0,2,750.0,72.0,
Sonstige,141.0,2,2300.0,128.5,
Sonstige,10.0,2,22.5,17.0,
Vensys,136.0,2,3500.0,161.2,
Enercon,92.0,2,2350.0,91.4,
eno energy,152.0,2,5600.0,165.0,
unbekannt,3.0,1,2.5,10.0,
unbekannt,6.0,1,9.8,,
eno energy,141.0,1,4200.0,129.0,
unbekannt,4.0,1,5.0,8.0,
unbekannt,10.0,1,10.8,25.0,
Enercon,16.0,1,55.0,24.0,
Vestas,112.0,1,3450.0,119.0,
Vestas,75.0,1,5600.0,105.0,
Vensys,115.0,1,4100.0,92.4,
Vensys,82.0,1,1850.0,100.0,
Sonstige,136.0,1,4200.0,135.0,
Sonstige,24.0,1,95.0,37.0,
Sonstige,20.0,1,30.0,20.0,
Sonstige,15.0,1,15.0,12.0,
Sonstige,14.0,1,29.8,42.9,
Sonstige,13.0,1,12.5,15.0,
Enercon,53.0,1,800.0,73.2,
Senvion/REpower,2.0,1,3.0,,
Nordex,164.0,1,7000.0,163.0,
unbekannt,20.0,1,30.0,30.0,
