tag,wind_on,wind_off,last,preis
2025-01-01,904.26,68.18,1180.49,0.95
2025-01-02,506.12,131.29,1306.01,92.91
2025-01-03,678.72,96.85,1366.77,89.94
2025-01-04,259.67,56.39,1264.56,120.79
2025-01-05,495.0,107.47,1225.57,72.24
2025-01-06,935.62,110.0,1346.59,25.16
2025-01-07,869.13,92.78,1479.23,58.29
2025-01-08,571.55,92.28,1538.77,104.53
2025-01-09,380.27,49.49,1497.38,121.53
2025-01-10,521.28,94.54,1535.8,112.43
2025-01-11,507.01,57.25,1344.36,101.89
2025-01-12,255.12,24.25,1268.64,110.07
2025-01-13,179.9,105.55,1543.4,129.2
2025-01-14,437.2,140.26,1617.48,126.82
2025-01-15,153.3,27.97,1525.82,222.18
2025-01-16,115.13,94.36,1545.1,148.1
2025-01-17,62.18,90.57,1544.15,146.32
2025-01-18,61.52,20.5,1324.96,134.15
2025-01-19,130.76,5.01,1252.94,128.72
2025-01-20,93.39,26.53,1518.64,231.36
2025-01-21,66.46,101.73,1531.66,168.46
2025-01-22,287.86,34.28,1508.92,161.45
2025-01-23,642.02,103.47,1526.15,103.94
2025-01-24,779.48,124.72,1486.93,78.9
2025-01-25,460.47,107.71,1292.43,99.33
2025-01-26,354.78,56.05,1193.86,101.46
2025-01-27,785.89,129.65,1484.31,60.17
2025-01-28,484.72,126.83,1483.77,106.37
2025-01-29,648.86,100.07,1491.61,108.14
2025-01-30,268.69,102.11,1486.55,131.53
2025-01-31,304.81,61.68,1457.85,141.02
2025-02-01,100.84,7.93,1258.5,135.45
2025-02-02,46.87,17.13,1215.84,137.13
2025-02-03,50.42,36.59,1477.66,154.51
2025-02-04,167.0,115.57,1536.94,142.42
2025-02-05,228.64,84.55,1555.8,141.77
2025-02-06,164.03,50.37,1512.8,150.09
2025-02-07,649.84,150.51,1528.3,121.18
2025-02-08,388.1,123.99,1319.65,108.81
2025-02-09,206.92,105.2,1245.01,128.42
2025-02-10,478.04,140.02,1539.66,121.84
2025-02-11,525.24,103.63,1580.24,120.01
2025-02-12,267.75,141.83,1560.45,154.32
2025-02-13,131.96,76.24,1564.52,172.12
2025-02-14,81.26,20.53,1524.58,179.14
2025-02-15,31.01,18.58,1307.38,133.66
2025-02-16,183.4,57.8,1256.91,132.65
2025-02-17,97.96,18.78,1493.54,153.42
2025-02-18,211.34,55.96,1527.67,132.45
2025-02-19,466.43,132.23,1533.21,110.83
2025-02-20,409.02,147.05,1543.62,94.95
2025-02-21,395.19,144.32,1436.87,90.8
2025-02-22,463.76,128.19,1266.83,70.32
2025-02-23,268.33,99.66,1141.1,91.04
2025-02-24,569.69,145.86,1441.01,91.05
2025-02-25,137.18,47.87,1404.48,139.76
2025-02-26,179.16,18.5,1434.22,135.7
2025-02-27,200.83,37.91,1438.26,126.03
2025-02-28,127.18,33.35,1422.23,128.77
2025-03-01,109.21,24.36,1244.29,123.65
2025-03-02,175.95,88.69,1182.75,91.12
2025-03-03,223.29,123.69,1405.73,106.45
2025-03-04,209.95,118.21,1447.9,107.77
2025-03-05,350.22,140.21,1447.37,78.55
2025-03-06,226.42,90.14,1398.05,89.82
2025-03-07,120.76,37.17,1329.33,103.99
2025-03-08,167.92,37.26,1146.98,90.69
2025-03-09,135.5,65.18,1099.82,77.21
2025-03-10,76.65,25.07,1344.02,112.86
2025-03-11,76.86,38.41,1391.01,125.3
2025-03-12,76.84,24.64,1418.16,124.87
2025-03-13,69.25,55.75,1431.45,125.14
2025-03-14,94.83,50.08,1416.7,121.23
2025-03-15,285.36,20.64,1202.48,92.92
2025-03-16,228.1,65.02,1153.09,72.03
2025-03-17,296.24,62.89,1401.57,99.11
2025-03-18,198.12,23.34,1402.29,90.14
2025-03-19,102.24,14.11,1372.99,104.39
2025-03-20,103.12,16.76,1346.67,108.3
2025-03-21,339.13,77.07,1347.45,73.52
2025-03-22,614.61,72.43,1185.54,14.96
2025-03-23,276.99,110.75,1126.02,54.96
2025-03-24,50.12,10.98,1318.67,129.88
2025-03-25,166.93,84.57,1388.53,111.78
2025-03-26,210.49,61.58,1399.18,114.53
2025-03-27,102.52,101.14,1360.87,98.97
2025-03-28,147.35,77.94,1307.69,88.34
2025-03-29,240.73,39.46,1126.67,84.51
2025-03-30,648.93,72.11,1078.48,11.68
2025-03-31,367.05,59.47,1341.87,104.4
2025-04-01,287.48,21.16,1342.9,94.22
2025-04-02,446.88,68.54,1317.06,61.62
2025-04-03,269.3,46.25,1298.44,77.5
2025-04-04,114.14,30.98,1267.08,89.91
2025-04-05,317.47,62.73,1102.79,54.83
2025-04-06,240.95,32.88,1053.18,38.29
2025-04-07,159.72,20.23,1293.66,96.13
2025-04-08,62.12,2.01,1301.07,98.75
2025-04-09,165.31,64.94,1326.98,91.56
2025-04-10,225.52,58.72,1343.98,85.52
2025-04-11,403.65,51.84,1317.89,64.63
2025-04-12,140.24,39.86,1084.51,65.41
2025-04-13,431.16,94.47,1072.55,39.2
2025-04-14,127.18,34.5,1268.21,98.16
2025-04-15,412.08,98.53,1332.44,70.04
2025-04-16,191.05,33.68,1304.24,89.58
2025-04-17,341.72,39.89,1328.35,98.49
2025-04-18,204.73,34.88,1079.11,87.9
2025-04-19,71.02,39.41,1036.64,68.92
2025-04-20,101.09,21.61,950.21,65.26
2025-04-21,67.84,2.75,982.26,81.99
2025-04-22,72.59,3.93,1228.78,112.64
2025-04-23,81.69,25.68,1284.8,109.48
2025-04-24,180.3,49.0,1330.4,96.8
2025-04-25,127.75,7.05,1294.83,88.53
2025-04-26,228.46,11.54,1075.47,57.39
2025-04-27,181.11,33.56,997.39,31.43
2025-04-28,47.78,15.67,1231.66,75.75
2025-04-29,87.0,20.36,1263.5,73.2
2025-04-30,55.83,14.12,1231.32,74.96
2025-05-01,65.28,9.21,983.0,44.97
2025-05-02,208.06,43.07,1119.0,62.79
2025-05-03,207.48,65.94,1049.22,55.08
2025-05-04,350.95,98.71,1033.23,33.54
2025-05-05,237.29,63.04,1256.33,87.4
2025-05-06,204.33,81.53,1274.75,90.96
2025-05-07,167.94,26.48,1277.0,98.93
2025-05-08,175.38,14.48,1263.72,103.18
2025-05-09,131.34,13.02,1237.72,81.11
2025-05-10,112.67,6.75,1044.52,52.3
2025-05-11,204.6,42.86,963.63,19.41
2025-05-12,282.6,92.35,1215.69,69.61
2025-05-13,137.51,45.3,1246.58,79.5
2025-05-14,227.19,57.56,1262.61,69.06
2025-05-15,332.22,68.44,1262.88,66.24
2025-05-16,258.89,69.11,1247.13,73.4
2025-05-17,278.39,49.6,1078.92,59.51
2025-05-18,220.12,31.17,1010.61,62.93
2025-05-19,112.63,18.62,1217.02,95.54
2025-05-20,94.08,52.79,1264.56,91.14
2025-05-21,354.97,107.66,1295.89,71.35
2025-05-22,471.35,107.53,1306.05,61.22
2025-05-23,325.9,97.71,1263.99,82.57
2025-05-24,317.38,72.22,1068.74,58.1
2025-05-25,442.3,114.52,1050.47,23.71
2025-05-26,281.07,94.39,1241.2,72.91
2025-05-27,471.42,77.71,1275.49,61.85
2025-05-28,537.98,32.07,1278.89,84.19
2025-05-29,242.1,77.74,1032.9,56.29
2025-05-30,341.0,114.78,1123.25,48.19
2025-05-31,63.7,15.1,1019.76,70.51
2025-06-01,256.15,49.64,991.52,39.58
2025-06-02,161.2,63.62,1259.34,87.04
2025-06-03,163.45,87.3,1262.22,71.69
2025-06-04,290.75,91.73,1309.26,83.11
2025-06-05,327.39,74.56,1272.38,80.16
2025-06-06,606.58,93.32,1272.94,48.63
2025-06-07,323.86,19.86,1047.26,59.72
2025-06-08,527.53,36.65,968.15,22.64
2025-06-09,272.13,59.84,977.18,33.31
2025-06-10,458.4,127.12,1216.3,54.12
2025-06-11,249.91,42.52,1246.33,71.6
2025-06-12,263.05,54.19,1231.34,59.28
2025-06-13,368.38,86.4,1229.18,52.09
2025-06-14,282.42,74.29,1079.87,44.38
2025-06-15,193.87,40.91,1014.54,61.84
2025-06-16,236.32,57.25,1256.01,81.1
2025-06-17,65.51,58.22,1255.32,84.64
2025-06-18,130.18,36.73,1254.66,79.82
2025-06-19,242.33,45.39,1116.81,56.02
2025-06-20,99.8,10.06,1128.2,87.05
2025-06-21,61.29,16.02,1024.15,72.61
2025-06-22,172.05,57.31,988.04,41.46
2025-06-23,595.23,76.48,1291.4,38.74
2025-06-24,569.46,98.48,1291.53,47.22
2025-06-25,372.38,43.15,1297.16,80.15
2025-06-26,328.06,49.67,1309.34,91.36
2025-06-27,388.98,97.14,1299.28,81.19
2025-06-28,296.68,116.0,1093.23,52.51
2025-06-29,264.95,60.53,1040.36,54.12
2025-06-30,108.19,24.51,1255.05,102.42
2025-07-01,106.14,36.23,1307.0,138.36
2025-07-02,182.11,45.34,1334.77,103.88
2025-07-03,322.31,61.57,1337.49,86.47
2025-07-04,106.48,77.06,1264.04,79.61
2025-07-05,303.83,97.33,1085.14,53.86
2025-07-06,264.83,41.75,1029.46,73.49
2025-07-07,198.11,77.29,1272.02,99.97
2025-07-08,297.5,88.46,1272.61,90.01
2025-07-09,255.39,23.91,1256.38,91.8
2025-07-10,110.85,19.67,1238.4,90.41
2025-07-11,201.89,44.65,1252.05,87.88
2025-07-12,182.22,67.28,1076.17,72.26
2025-07-13,74.58,35.06,998.78,73.49
2025-07-14,118.13,4.85,1222.52,98.47
2025-07-15,203.41,40.88,1230.15,90.82
2025-07-16,210.36,28.42,1257.58,95.75
2025-07-17,264.08,64.02,1244.25,92.61
2025-07-18,35.69,3.36,1189.94,100.93
2025-07-19,114.16,28.1,1036.08,70.14
2025-07-20,149.53,49.2,986.85,71.48
2025-07-21,171.35,27.09,1246.91,100.23
2025-07-22,353.12,29.91,1246.41,78.38
2025-07-23,449.33,85.5,1254.44,78.25
2025-07-24,72.48,23.64,1244.56,102.55
2025-07-25,94.83,33.62,1219.14,97.43
2025-07-26,48.63,19.08,1041.63,91.16
2025-07-27,85.94,25.05,972.4,79.43
2025-07-28,273.16,47.72,1208.58,94.08
2025-07-29,292.57,111.7,1248.67,76.95
2025-07-30,287.5,134.43,1233.73,75.95
2025-07-31,337.27,89.08,1227.63,85.52
2025-08-01,181.24,32.42,1188.03,93.19
2025-08-02,182.76,102.88,1020.38,67.15
2025-08-03,294.45,104.36,969.23,42.25
2025-08-04,359.99,91.55,1186.27,63.46
2025-08-05,446.26,142.31,1226.28,36.05
2025-08-06,269.1,100.67,1208.95,61.94
2025-08-07,104.68,57.8,1191.21,71.79
2025-08-08,155.06,36.32,1177.65,76.16
2025-08-09,95.34,31.48,1012.71,61.42
2025-08-10,186.19,38.54,952.55,46.8
2025-08-11,72.94,5.47,1142.49,84.48
2025-08-12,135.77,23.45,1193.07,84.95
2025-08-13,121.66,28.64,1233.36,99.83
2025-08-14,64.13,33.92,1260.04,105.06
2025-08-15,160.98,44.64,1215.54,73.61
2025-08-16,260.7,105.96,1075.93,60.93
2025-08-17,116.49,48.87,962.77,64.05
2025-08-18,56.98,1.94,1158.3,91.53
2025-08-19,82.14,30.26,1202.99,82.39
