monat,wind_on,wind_off,last,pv
2024-01,15.539,3.037,44.095,1.434
2024-02,14.088,2.78,39.957,2.237
2024-03,9.348,2.737,40.193,4.877
2024-04,9.674,2.186,37.731,6.624
2024-05,6.249,1.528,35.984,8.604
2024-06,5.671,1.553,35.705,8.836
2024-07,5.528,1.636,36.974,9.307
2024-08,5.184,1.426,36.922,8.941
2024-09,8.943,1.822,36.646,6.161
2024-10,8.368,2.262,38.537,3.562
2024-11,10.259,2.234,41.377,1.53
2024-12,13.708,2.467,41.383,1.037
2025-01,13.201,2.54,44.171,1.627
2025-02,7.227,2.26,40.067,3.019
2025-03,6.492,1.889,40.564,6.906
2025-04,5.843,1.081,36.342,8.951
2025-05,7.858,1.861,36.265,10.217
2025-06,8.677,1.849,35.278,10.536
2025-07,6.168,1.561,37.036,9.056
2025-08,5.459,1.699,35.373,9.672
2025-09,9.721,2.411,36.472,6.436
2025-10,13.696,2.902,40.476,3.643
2025-11,9.952,2.716,41.47,2.211
2025-12,12.474,3.425,42.304,1.509
2026-01,13.036,3.724,46.292,1.637
2026-02,11.14,3.69,40.843,2.536
2026-03,9.116,2.32,40.563,7.302
2026-04,7.866,1.835,36.814,10.046
2026-05,5.492,1.538,35.64,11.549
2026-06,6.366,1.503,36.19,11.636
2026-07,8.008,2.01,37.858,12.036
2026-08,7.541,1.824,35.429,10.931
2026-09,,,,
2026-10,,,,
2026-11,,,,
2026-12,,,,
